Column1,short_description
274," बाइक-सवार को पकड़ती पुलिस का ये सनसनीखेज वीडियो श्रीनगर का नहीं, ब्राजील का है"
275," बिहार में बीजेपी नेताओं पर लाठीचार्ज नहीं दिखाता ये वीडियो, जानें इसकी हकीकत"
276, यमुना बैंक मेट्रो स्टेशन के पास गहरे पानी में गिरा बाइक सवार? MP में हुई थी ये घटना
277, सावन के दूसरे ही दिन राहुल गांधी खाने पहुंचे मांस? जानें इस वीडियो की पूरी सच्चाई
278, बंदूकों के शौकीन अमेरिकी को बताया जा रहा मणिपुर में फायरिंग की प्रैक्टिस करता उग्रवादी
279," ATM मशीन में सांप घुसने की ये सनसनीखेज घटना न तो नोएडा की है, न ही हाल-फिलहाल की"
280, बूढ़े शख्स संग स्कूली छात्रा की शादी का ये वीडियो स्क्रिप्टेड है
281, सोशल मीडिया पर फैली ज्योति मौर्य और मनीष दुबे को जेल भेजे जाने की अफवाह
282, नहर में धकेल कर हुई लड़की की हत्या के इस मामले में नहीं था 'लव जिहाद' का कोई एंगल
283, इटली में हुए भूस्खलन का पुराना वीडियो हिमाचल प्रदेश का बता कर किया जा रहा है शेयर
284, बेडरूम के इस सनसनीखेज वीडियो का ज्योति मौर्या से नहीं है कुछ लेना-देना
285, मध्य प्रदेश में आदिवासी की हत्या की घटना का ये वीडियो दो साल पुराना है
286, टेक्सास की एक दुकान में ग्राहकों ने मारी चोर को गोली? जानें इस तस्वीर की सच्चाई
287," फ्रांस के दंगाइयों को पीटने नहीं गई भारतीय सेना, इस वीडियो में हैं कई मनगढ़ंत बातें"
288, फ्रांस में प्रदर्शनकारियों पर पुलिस बल प्रयोग के पुराने वीडियो हालिया हिंसा से जोड़कर हो रहे शेयर
289, रूस में सड़क पर नमाज पढ़ते लोगों का पुराना वीडियो अब फ्रांस का बताकर हुआ वायरल
290, दुकान से गहने चोरी कर रहे नकाबपोश लोगों का ये वीडियो फ्रांस का नहीं है
291, मणिपुर में बीजेपी नेताओं को आदिवासियों ने दौड़ा-दौड़ाकर पीटा? इस वीडियो पर न करें यकीन
292," किसी दबंग की गोलियों का नहीं, कार दुर्घटना का शिकार हुए थे ये लोग"
293," ‘दि केरल स्टोरी' से हटाया गया सीन नहीं, ये ‘ब्रेस्ट टैक्स’ पर बनी एक शॉर्ट फिल्म का दृश्य है"
294," राम मंदिर के श्रद्धालुओं के लिए नहीं चलाई जा रही है तीन मंजिला बस, ये तस्वीर AI का कमाल है"
295, न तो ये आदमी उइगर मुस्लिम है और न ही ये वीडियो चीन का है
296," गाड़ी पर बैठकर हथियार लहराते शख्स का ये वीडियो गाजियाबाद का नहीं है, इसे एक म्यूजिक वीडियो से लिया गया है"
297, स्कूली छात्रा से पिटता छेड़खानी का ये आरोपी मुस्लिम नहीं है
298, एमपी में हुई चाकूबाजी की इस घटना में नहीं है 'लव जिहाद' का कोई एंगल
299," विपक्षी दलों की बैठक से पहले ‘आप’ नेता संजय सिंह ने परिवारवाद पर साधा निशाना? नहीं, ये वीडियो पुराना है"
300, शरणार्थियों से भरी बोट पर फायरिंग का पुराना वीडियो ग्रीस नाव हादसे से जोड़कर हुआ वायरल
301, ऋषिकेश में गंगा में घुसकर बीयर पीने वाले लोग नहीं हैं मुस्लिम
302, अमेरिका पहुंचे PM मोदी को राष्ट्रपति बाइडेन ने किया अनदेखा? जानें इस वीडियो की असली कहानी
303, अंबाला में मनचले की पिटाई का पुराना वीडियो सांप्रदायिक दावे के साथ हो रहा है शेयर
304, मणिपुर में कुकी समुदाय की लड़की को दिन-दहाड़े मारी गई गोली? इस वीडियो की हकीकत कुछ और ही है
305," कमजोर पड़ रहा चक्रवात बिपरजॉय, लेकिन सोशल मीडिया पर नहीं थम रहे तबाही के पुराने वीडियो"
306," हवा में झूलते पुल पर मौजूद भारी भीड़ का ये वीडियो भारत नहीं, नेपाल का है"
307," गाजियाबाद की फैक्ट्री में नहीं दिखा तेंदुआ, ये वीडियो तेलंगाना का है"
308, उफनती लहरों और तबाही के पुराने वीडियो को ‘बिपरजॉय’ चक्रवात से जोड़कर किया जा रहा शेयर
309," बिपरजॉय चक्रवात की दस्तक का नहीं, ये मुंबई में तीन साल पहले आए तूफान का वीडियो है"
310, बांग्लादेश की मस्जिद में आए रिकॉर्ड दान के वीडियो को शिरडी साईं बाबा मंदिर का बताकर किया जा रहा है शेयर
311," ये चार साल पहले पुलिस की पिटाई में घायल टेम्पो वाला है, न कि हरियाणा में हाल ही में चोटिल हुआ किसान"
312," ना मियांं मुस्लिम ना बीवी, फिर भी इस बेरहम पिटाई को कैसे दिया गया सांप्रदायिक रंग"
313," सीधे मोदी से कुर्सी से उतरने की मांग करने वाले इस इंटरव्यू पर न करें यकीन, जोड़-तोड़ कर बना है ये वीडियो"
314, ओडिशा में हुई ट्रेन दुर्घटना के बाद मुस्लिम स्टेशन मास्टर के फरार होने का झूठा दावा वायरल
315," पहलवानों के समर्थन में धोनी ने नहीं कही है ये बात, फर्जी बयान वायरल"
316, विराट कोहली के ओडिशा ट्रेन एक्सीडेंट पीड़ितों को 30 करोड़ रुपये दान देने की बात है मनगढ़ंत
317," राष्ट्रपति द्रौपदी मुर्मू ने नहीं की पहलवानों के लिए न्याय की मांग, झूठा दावा वायरल"
318, दिल दहलाने वाले इस वायरल वीडियो का केरल से नहीं है कोई लेना–देना
319, दिल्ली में गुरद्वारे जाने के समय पर पाबंदी? जानें वायरल वीडियो की सच्चाई
320, क्या मृत मानकर इस जिंदा शख्स का किया गया अंतिम संस्कार? जानें वायरल वीडियो का सच
321," राजस्थान की सड़कों पर नहीं लिखा गया 'मोदी नो एंट्री', ये दोनों फोटो पुरानी हैं"
322, विनेश और संगीता फोगाट की इन फर्जी तस्वीरों पर न करें यकीन
323," सालभर पहले टूटी थी इस हिंदू लड़की और मुस्लिम लड़के की शादी, अब बताया जा रहा ‘द केरला स्टोरी’ का असर"
324, नासिक में अजान के वक्त लाउडस्पीकर पर भजन-कीर्तन बजाने पर लगी रोक? जानें वायरल वीडियो की सच्चाई
325," राजस्थान के इस मंदिर में दलितों की एंट्री पर नहीं है कोई बैन, ये फोटो एडिटेड है"
326," जामिया यूनिवर्सिटी के हॉस्टल में 'सिर्फ' मुस्लिम छात्रों को फ्री में सिविल सर्विस कोचिंग पढ़ाए जाने की बात है भ्रामक, जानें इसकी असलियत"
327, हरियाणा के नूंह में हिन्दुओं की शवयात्रा निकालने पर बैन की बात है बेबुनियाद
328, मरीज पर बैठे कबूतर की पुरानी तस्वीर के साथ सुनाई जा रही ये इमोशनल कहानी काल्पनिक है
329, मेघालय में चाय पीने गए ड्राइवर की लापरवाही से हुआ बस हादसा? जानें इस वीडियो की सच्चाई
330, महाराष्ट्र में पुलिस को धमकाने का पुराना वीडियो कर्नाटक का बताकर वायरल
331, चोटिल लोगों की पुरानी तस्वीरें शेयर करके इन्हें बताया जा रहा कर्नाटक में जैन मुनि पर हुआ हमला
332," खुद-ब-खुद चलते पत्थरों का करिश्मा नहीं दिखाता ये वीडियो, जानें इसकी हकीकत"
333, इमरान खान के समर्थकों को पाक आर्मी ने बख्तरबंद गाड़ी से कुचला? जानें इस वीडियो की सच्चाई
334," पायलट की जन संघर्ष यात्रा नहीं, ये भारत जोड़ो यात्रा में उमड़ी भीड़ का वीडियो है"
335, यूपी के सहारनपुर की चौकी में खुलेआम शराब पीता ये आदमी पुलिसवाला नहीं है
336, खाली सड़क पर चलती गाड़ी के उड़े परखच्चे? जानें रहस्यमयी दुर्घटना के इस वीडियो का सच
337, साक्षी मलिक ने पहलवानों के आंदोलन का बताकर शेयर किया पीएम मोदी की रैली का पुराना वीडियो
338, तेलंगाना में बीजेपी कार्यकर्ताओं को दौड़ाने का पुराना वीडियो अब कर्नाटक चुनाव से जोड़कर हो रहा है शेयर
339, हिटलर और पीएम मोदी की तुलना करने वाला ये कोलाज एडिटेड है
340, पाकिस्तान में हिंदू लड़की के धर्म परिवर्तन को नहीं दिखाता है ये वीडियो
341," संसद के सामने प्रदर्शन कर रहे इस शख्स की बेटी के साथ नहीं हुआ था रेप, पुराना वीडियो फर्जी दावे के साथ वायरल"
342,ट्रक से बकरियां फेंकते शख्स का यह वीडियो कहां से आया? जानें सच
343, ट्रक से बकरियां फेंकते सरफिरे चोर का ये वीडियो पाकिस्तान का नहीं है
344, चूरू में ट्रैफिक पुलिसकर्मी से अभद्रता की इस घटना में नहीं है कोई सांप्रदायिक एंगल
345, फैक्ट्री में हुए ब्लास्ट का पुराना वीडियो सूडान में चल रहे गृह युद्ध का बताकर हो रहा है शेयर
346, भोजपुरी गायक प्रमोद प्रेमी की मौत की अफवाह हुई वायरल
347,छाता पकड़े लोको पायलट की ये तस्वीर केरल की वंदे भारत एक्सप्रेस की नहीं
348," फिलहाल लैब में नहीं बन सकते हैं बच्चे, वायरल वीडियो सिर्फ एक कल्पना है"
349," शाहरुख की आगामी फिल्म 'जवान' का डायलॉग नहीं, ये टी-20 टूर्नामेंट का 12 साल पुराना विज्ञापन है"
350, मां के सामने बच्चे पर अलमारी गिरने का ये भयानक वीडियो एक तुर्की मूवी का सीन है
351, मेट्रो में नहाते हुए शख्स का ये चौंकाने वाला वीडियो दिल्ली का नहीं है
352, सिक्किम के हिमस्खलन की दुर्घटना का ये वीडियो हिमाचल के नाम से हो रहा है वायरल
353," सुरेश चव्हाणके की पत्नी के मुस्लिम संग फरार होने की बात है बेबुनियाद, ये स्क्रीनशॉट भी नकली है"
354," असद-अतीक के एनकाउंटर के बाद नहीं, शाइस्ता परवीन ने दो साल पहले दिया था ये भाषण"
355," सीआईडी के ‘दया’ की नहीं हुई है मौत, झूठी खबर हुई वायरल"
356, सत्यपाल मलिक के नाम पर बने फर्जी ट्विटर अकाउंट के झांसे में आए लोग
357, मनीष कश्यप के समर्थकों ने तेजस्वी यादव को खदेड़ा? जानें इस वीडियो की सच्चाई
358," महिलाओं को ब्रेड बांटते इस शख्स की ये तस्वीर पाकिस्तान नहीं, अफगानिस्तान की है"
359, अतीक की हत्या का इल्जाम CM योगी पर लगाने वाला यह शख्स कौन है? सामने आया सच
360, कौन है ये शख्स जिसके सिर को नहीं छेद पाई गोली? जानें सच
361," इस तस्वीर में राहुल के साथ चीन के नए प्रीमियर ली कियांग नहीं, बल्कि पूर्व प्रीमियर वेन जियाबाओ हैं"
362, असद एनकाउंटर से खौफजदा हुआ पाकिस्तानी पत्रकार? ये वीडियो पुराना है और इस शख्स की मौत हो चुकी है
363," ऋषि सुनक ने नहीं, दूसरे शख्स ने दिया था राम मंदिर निर्माण के लिए एक करोड़ रुपये का ये चेक"
364, उदयपुर की इस शादीशुदा महिला की 'लव स्टोरी' का नहीं है 'लव जिहाद' से कोई कनेक्शन
365, आकांक्षा दुबे केस के आरोपी समर सिंह की पुलिस हिरासत में पिटाई का नहीं है ये वीडियो
366, अक्षय कुमार ने नहीं की है आकांक्षा दुबे मामले के आरोपी समर सिंह को फांसी देने की मांग
367," गाड़ी में शराब पी रही लड़कियों को पकड़ने वाला ये शख्स पुलिस अफसर नहीं, एक एक्टर है"
368," 'नागमणि' वाले सांप की ये तस्वीर असली नहीं, एडिटेड है"
369," नजरों को धोखे से बचाएं, डॉक्टर के लिबास में पीएम मोदी की ये तस्वीर AI का चमत्कार है"
370," मोदी सरकार ने शारदा पीठ नहीं बनवाया है, ये PoK में है"
371," रामनवमी और भीम आर्मी की रैली के नहीं हैं ये वीडियो, जानें इनकी सच्चाई"
372, इस तस्वीर में सरदार पटेल के साथ कश्मीर के महाराजा हरि सिंह नहीं बल्कि हैदराबाद के निजाम हैं
373," गुड फ्राइडे याद रहा और हनुमान जयंती भूल गए राहुल गांधी? नहीं, ये है सच्चाई"
374," इस लड़की को उदयपुर की घटना के नाम पर न दें श्रद्धांजलि, ये दूसरी लड़की है"
375, पुलिस को फटकार लगाते जज के इस वीडियो का मनीष कश्यप के केस से कोई लेना-देना नहीं है
376, नए संसद भवन के निर्माण को लेकर सोशल मीडिया पर किया जा रहा है बेबुनियाद दावा
377, पाकिस्तान में बच्चे से केले छीनते लोगों का ये वीडियो पांच साल पुराना है
378, जिसे नेहरू की इफ्तार पार्टी कहा जा रहा है वो सरदार पटेल के रात्रिभोज की तस्वीर है
379," राम नवमी के जुलूस का ये वीडियो पाकिस्तान नहीं, जम्मू-कश्मीर का है"
380, SBI की पूर्व चेयरपर्सन अरुंधति भट्टाचार्य ने नोटबंदी और मोदी सरकार के खिलाफ नहीं दिया है ये बयान
381, हरियाणा में 5 साल पहले सड़क के किनारे मिले दस्तावेजों का वीडियो गुजरात के मुसलमानों से जोड़कर वायरल
382, लोकसभा अध्यक्ष ओम बिरला की बेटी UPSC की परीक्षा पास करके ही बनीं हैं अधिकारी
383, पाकिस्तान के पूर्व राष्ट्रपति आसिफ अली जरदारी की मौत की फैली अफवाह
384, घोड़ी के बजाए बुलडोजर पर सवार दूल्हे का ये वीडियो यूपी का नहीं है
385," रेलवे स्टेशन में लेटे व्यक्ति को लात मारते ये पुलिसवाले असम नहीं, यूपी के हैं"
386, मुंबई में हुई बुलडोजर कार्रवाई का वीडियो यूपी का बताकर किया गया शेयर
387, राजस्थान बीजेपी के अध्यक्ष सीपी जोशी नहीं हैं 'तितलियां' गाने पर थिरकते ये व्यक्ति
388, एडिटेड विजिटिंग कार्ड शेयर करके कानपुर के इस शख्स को बताया जा रहा 'हलाला एक्सपर्ट'
389, साल 2022 में किडनैपर्स के चंगुल से बचाए जा चुके पाकिस्तानी बच्चे का वीडियो वायरल
390, केजरीवाल के गडकरी से माफी मांगने की नहीं है ये तस्वीर
391, भोजपुरी एक्ट्रेस आकांक्षा दुबे की मौत से पहले का आखिरी वीडियो नहीं हैं ये
392," राहुल ने 10 साल पहले नहीं फाड़ा था यूपीए सरकार का अध्यादेश, जानें सच"
393," बस की छत से गिरने वाले ये लोग मनीष कश्यप के समर्थक नहीं हैं, जानें इस वीडियो की असली कहानी"
394, इस तस्वीर में पीएम मोदी के साथ 'ठग' किरण पटेल नहीं बल्कि कैबिनेट मंत्री जी. किशन रेड्डी हैं
395, पुरानी तस्वीरों-वीडियोज को लोग बता रहे पाकिस्तान-अफगानिस्तान के हालिया भूकंप का मंजर
396, भोपाल में केजरीवाल की रैली का बताकर शेयर की जा रही कोलकाता की पुरानी फोटो
397," ममता के साथ हुई मुलाकात में स्टूल नहीं, कुर्सी पर ही बैठे थे अखिलेश यादव"
398, पिता पर बलात्कार का आरोप लगा रही कश्मीर की लड़की का पुराना वीडियो UP का बताकर वायरल
399, कार में बैठकर 'मथुरा भी सजा देंगे' भजन सुन रहा शख्स सीएम योगी नहीं
400," अक्षय कुमार नहीं गए बागेश्वर धाम, फर्जी है वायरल वीडियो"
401,"फैक्ट चेक  विराट-अनुष्का ने नहीं किए बागेश्वर धाम के दर्शन, फर्जी दावा हो रहा वायरल"
402," कोर्ट ने नहीं दी है गर्लफ्रेंड और पत्नी- दोनों को साथ रखने की इजाजत, जानें 10 साल पुराने इस मामले का सच"
403, गुजरात चुनाव में अच्छे प्रदर्शन को केजरीवाल ने बताया था ‘बैल से दूध निकालने’ जैसा
404, बस ड्राइवर की सीट पर बैठने के लिए अड़ी महिला का ये वीडियो स्क्रिप्टेड है
405," चीन में नहीं हुई है कीड़ों की बारिश, जानें इस वायरल वीडियो की हकीकत"
406, सूडान में मिले ये पत्थर नहीं हैं प्राचीन हिंदू मंदिर के अवशेष
407, इस फोटो में महिला के साथ दिख रहे ये शख्स जवाहर लाल नेहरू नहीं
408," मनमोहन सिंह से सोनिया गांधी के बारे में नहीं पूछा गया था सवाल, वायरल वीडियो एडिटेड है"
409, आंसू गैस के गोलों को 'जुगाड़' से निष्क्रिय करते ये लोग इमरान के समर्थक नहीं
410," राहुल गांधी ने महाभारत के बारे में नहीं कही ये बात, ये ट्वीट फर्जी है"
411, पुतिन ने नहीं दिया है रूस में कोरोना वैक्सीन के पूरे स्टॉक को नष्ट करने का आदेश
412, मध्य प्रदेश में डेढ़ साल पहले क्रैश हुए एयर फोर्स प्लेन के पायलट की जान जाने का झूठा दावा वायरल
413, हिंदू लड़की पर तेजाब फेंकने की धमकी देने वाले मुस्लिम को सिखाया सबक? इस फिल्मी कहानी पर न करें यकीन
414, पुलिस की गिरफ्त में दिख रहे लोग इमरान खान के समर्थक नहीं
415, नाइजीरिया में होली पर 108 लोगों ने नहीं अपनाया हिंदू धर्म
416," नंदन नीलेकणि ने नहीं दी है किसी क्रिप्टोकरेंसी टूल से निवेश करने की सलाह, ये वेबसाइट नकली है"
417, यूपी में हिंदू लड़की से रेप के आरोपी मुस्लिम युवक की हत्या की कहानी मनगढ़ंत
418, रंगपंचमी का वीडियो कांग्रेस विधायक की जीत का जश्न बताकर वायरल
419, जॉर्ज सोरोस के साथ दिख रही ये महिला नहीं हैं मनमोहन सिंह की बेटी
420, सीढ़ी लगाकर पुलिस से भागता ये शख्स इमरान खान नहीं है
421, तमिलनाडु के मुख्यमंत्री स्टालिन ने नहीं दिया है प्रवासी मजदूरों को राज्य छोड़ने का अल्टीमेटम
422, माथे पर राख लगाते यूपी सीएम योगी आदित्यनाथ का पुराना वीडियो एक शहीद कांस्टेबल से जोड़कर वायरल
423,क्या कांग्रेस के समर्थन में धीरेंद्र शास्त्री करेंगे 121KM लंबी पदयात्रा?
424, बागेश्वर धाम प्रमुख धीरेंद्र शास्त्री की बहन की शादी मुस्लिम से होने की बात बेबुनियाद
425, क्रेडिट कार्ड चोरी में गिरफ्तार युवकों की फोटो मुंबई में 'नाई जिहाद' बताकर की जा रही है शेयर
426, महाराष्ट्र के पूर्व सीएम उद्धव ठाकरे ने मुगल बादशाह औरंगजेब को नहीं बताया अपना भाई
427, पाकिस्तानी खुफिया एजेंसी ISI के अफसर की अल-कायदा चीफ से मुलाकात की नहीं है ये तस्वीर
428," कांग्रेस अधिवेशन में सीएम भूपेश बघेल ने अतिथियों को सोने की नहीं, पहनाई थी घास से बनी माला"
429," क्रिकेटर डेविड वॉर्नर इस्लाम कबूल करने जामा मस्जिद नहीं गए थे, ये किस्सा पूरी तरह काल्पनिक है"
430, अस्पताल में बलात्कार का ये वीडियो न तो भारत का है और न ही ये शख्स मुस्लिम है
431," 'सत्याग्रह' का मतलब बताते समय फिसली थी राहुल गांधी की जुबान, लेकिन उन्होंने तुरंत सुधार ली थी चूक"
432, हरियाणा में मोनू मानेसर के समर्थन में हुई रैली का नहीं है ये वीडियो
433, अशोक चिन्ह के शेरों जैसी मुद्रा बना कर बैठे ये तीन चीते केन्या के हैं न कि MP के कूनो नेशनल पार्क के
434, 'सुखमणि साहिब' के पाठ से 16 साल बाद होश में आई महिला? इस चमत्कारी कहानी पर न करें यकीन
435," भारत सालों से करता रहा है आपदा में दूसरे देशों की सहायता, मनमोहन के समय मदद की भीख मांगने की बात बेबुनियाद"
436," इस तस्वीर में सोनिया गांधी के साथ ISI की एजेंट इरम परवीन बिलाल नहीं, पाकिस्तानी पत्रकार हैं"
437," जापान, चीन और फिलीपींस में आए भूकंप के पुराने वीडियो तजाकिस्तान के हालिया भूकंप से जोड़कर किए जा रहे शेयर"
438, जम्मू-कश्मीर में हुए लैंडस्लाइड की फोटो तुर्की के भूकंप की बताकर वायरल
439, मलेशिया में हजारों चीनियों के धर्म बदल कर हिंदू बनने का झूठा दावा वायरल
440," ये तस्वीर पाकिस्तानी तालिबान के मुखिया की नहीं, अभिनेता धर्मेंद्र की है"
441, 'बुलडोजर' कार्रवाई के दौरान दुकानदारों के खुद को आग लगाने का ये वीडियो यूपी का नहीं है
442," जॉर्ज सोरोस नहीं, पूर्व अमेरिकी राजदूत के साथ खड़े हैं राहुल गांधी"
443, गुजरात में ओवरब्रिज से छलांग लगाने वाली ये लड़की सही-सलामत है और उसका इलाज चल रहा है
444," बंगाल के स्कूलों में नहीं, बांग्लादेश के कुछ मदरसों में पढ़ाई जाती है ये भड़काऊ किताब"
445," पाकिस्तान में नहीं जुटी है मुल्क छोड़ने वालों की भीड़, वायरल तस्वीर अफगानिस्तान की है"
446," निक्की यादव हत्याकांड का आरोपी हिंदू है, इस मामले में नहीं है 'लव जिहाद' का कोई एंगल"
447, केजरीवाल ने नहीं कहा था सत्ता में मोदी-शाह की वापसी से बर्बाद होगा पाकिस्तान
448, बर्फ में बिना शर्ट के ट्रेनिंग करते ये जवान न तो भारतीय सेना के हैं और न पाकिस्तानी सेना के
449," हाल-फिलहाल की नहीं, 4 साल पुरानी है अस्पताल में भर्ती भगवंत मान की ये तस्वीर"
450," ​हिचकोले खाती इमारतों के ये वीडियो पुराने हैं, इनका तुर्की के हालिया भूकंप से नहीं है कोई कनेक्शन"
451," दिल्ली-एनसीआर में 15 साल से पुरानी गाड़ी चलाने पर नहीं मिली है कोई राहत, वायरल मैसेज के धोखे में ना फंसें"
452, ब्रिटिश PM ऋषि सुनक ने अपने मंत्रियों के दफ्तर में सुंदरकांड का पाठ अनिवार्य नहीं किया
453, फौजियों को बेल्ट से पीटे जाने की ये तस्वीर न तो पाकिस्तान की है और न ही हाल-फिलहाल की
454, सात साल पुराना वीडियो उत्तराखंड में पुलिस और प्रदर्शनकारियों के बीच हुए हालिया टकराव के दावे के साथ हो रहा वायरल
455, क्या रबड़ के सूट के दम पर दिख रहा है 'पठान' 8 पैक का जलवा? इस फोटो पर ना करें यकीन
456,पुतिन के साथ खड़ी ये लड़की क्या उनकी कथित प्रेमिका है?
457," शाहरुख ने नहीं दी है पठान-2 को फ्लॉप कराने की चुनौती, मनगढ़ंत है ये बयान"
458, इस तस्वीर में राहुल गांधी के साथ हिंडनबर्ग रिसर्च के मालिक नहीं बल्कि एक जर्मन नेता हैं
459, भावुक कर देने वाली इन तस्वीरों का तुर्की-सीरिया में आए भूकंप से कोई लेना-देना नहीं
460, कुत्ते-बिल्लियों के पुराने वीडियो और तस्वीरें तुर्की में आए हालिया भूकंप से जोड़कर हुए वायरल
461," राहुल गांधी ने लोकसभा में अडानी के साथ रॉबर्ट वाड्रा की नहीं, पीएम मोदी की तस्वीर दिखाई थी"
462, हाल-फिलहाल का नहीं है पंजाबी परिवार के बॉर्डर पार करने का ये वीडियो
463," भुखमरी से जूझ रहे लोगों ने नहीं, कट्टरपंथियों ने किया था पाकिस्तान की इस मस्जिद पर हमला"
464, तुर्की में भूकंप के नाम पर सोशल मीडिया पर आई पुराने वीडियो की बाढ़
465, ऑस्ट्रेलिया ने नहीं छापी है पांच डॉलर के नोट पर शेन वॉर्न की तस्वीर
466, सलमान खान की फिल्म 'अंतिम' के शो में पटाखे फोड़ते फैंस का पुराना वीडियो 'पठान' का बताकर वायरल
467, शाहरुख खान की फिल्म 'जवान' के सेट की पुरानी तस्वीरें हाल का बता कर वायरल
468," खतरनाक ट्रेनिंग का ये वीडियो भारत नहीं, बल्कि इंडोनेशियन आर्मी का है"
469, NASA ने नहीं कही है अंतरिक्ष से 'ॐ' की आवाज आने की बात
470, मध्य प्रदेश में आदिवासी लड़की की पिटाई का पुराना वीडियो अब यूपी का बताकर हो रहा है वायरल
471, 'पठान' देखने गए शाहरुख फैन की हुई पिटाई? ये कहानी मनगढ़ंत है और फोटो पुरानी
472,"‘पठान’ देखते यूपी सीएम योगी आदित्यनाथ को नहीं दिखाती ये तस्वीर, इसे एडिट किया गया है"
473, 'पठान' फिल्म देखने गए दो गुटों में मारपीट का वीडियो भ्रामक दावे के साथ वायरल
474," 'पठान' के 120 टिकट खरीदने वाला असम का युवक कोई ठेले वाला नहीं, बल्कि एक लॉ स्टूडेंट है"
475, अपने फैन का मोबाइल फेंकते रणबीर कपूर के इस वीडियो की असलियत कुछ और है
476," पीएम मोदी ने नहीं किए बागेश्वर धाम के दर्शन, ये पुराना वीडियो उनके गुजरात के मोधेश्वरी माता मंदिर जाने का है"
477, फिल्म को 'बकवास' बोल रही महिला 'पठान' नहीं बल्कि 'ब्रह्मास्त्र' देखकर लौटी थी
478," शाहरुख ने कभी नहीं कहा कि मुस्लिमों के 'पठान' न देखने से कोई फर्क नहीं पड़ेगा, मनगढ़ंत है ये बयान"
479," शाहरुख ने 'दिलवाले' की रिलीज से पहले मांगी थी माफी, उनके इस इंटरव्यू का 'पठान' से नहीं है कनेक्शन"
480," शादी समारोह में डांस करता ये शख्स एक्टर शाहरुख खान नहीं, बल्कि उनका हमशक्ल है"
481, पाकिस्तानी पहलवान की कुश्ती का वीडियो आचार्य धीरेंद्र शास्त्री के नाम से हो रहा है वायरल
482, बुजुर्ग की बेरहमी से पिटाई का यह वीडियो यूपी का नहीं बल्कि बिहार का है
483, पाकिस्तान की तस्वीर भारत में मुफ्त राशन लेने वाली महिलाओं की बताकर की जा रही है शेयर
484," गौरव भाटिया ने नहीं दिया पीएम मोदी के खिलाफ बयान, वायरल वीडियो अधूरा है"
485, ‘बेशर्म रंग’ की धुन पर थिरकता ये शख्स बिलावल भुट्टो नहीं बल्कि कराची का एक स्टूडेंट है
