Column1,short_description
1277,चंद्रबाबू नायडू की पार्टी टीडीपी ने तेलंगाना विधानसभा चुनाव से बाहर रहने का किया फैसला
1278,"केरल में बम ब्लास्ट के बाद राजीव चंद्रशेखर ने साधा मुख्यमंत्री पिनाराई विजयन पर निशाना, बोले-गैर जिम्मेदाराना राजनीति की पराकाष्ठा"
1279,"Jammu Kashmir Terrorist attack: श्रीनगर में आतंवादियों ने पुलिस अधिकारी को मारी गोली, ईदगाह के पास हुआ हमला"
1280,"कलामासेरी धमाका: BJP ने CM विजयन पर साधा निशाना, कहा- ये है तुष्टिकरण की राजनीति की कीमत"
1281,"केरल में सीरियल बम ब्लास्ट के बाद दिल्ली और मुंबई में हाई अलर्ट, हर ओर फोर्स तैनात"
1282,"Google Maps अब इंडिया के साथ लिख रहा भारत, दिखा रहा राष्ट्रध्वज तिरंगा"
1283,"Watch Video: Kerala Blast के बाद हाई अलर्ट, गृहमंत्री Amit Shah ने सीएम से की बात, जानिए 10 बातें"
1284,"किराना का सामान देने आए डिलीवरी बॉय ने महिला से किया रेप, भागते वक्त चुरा ली पुलिसवाले की गन"
1285,"एर्नाकुलम धमाका: IED के निशान मिले, टिफिन बॉक्स में बम लाने की संभावना"
1286,"केरल के एर्नाकुलम में धमाका, एक की मौत 36 घायल, NIA कर रही जांच, अमित शाह ने CM से की बात"
1287,Mann Ki Baat: पीएम मोदी ने युवाओं से किया आग्रह MYBharat का बनें हिस्सा
1288,Israel Hamas War: पश्चिम एशिया में बिगड़ती सुरक्षा स्थिति पर पीएम मोदी ने मिस्र के राष्ट्रपति से की बात
1289,केरल की नई आईटी पॉलिसी ड्राफ्ट को केंद्रीय मंत्री राजीव चंद्रशेखर ने पुरानी इमारत पर नया पेंट लगाने की कोशिश बताया
1290,इजरायल-फिलिस्तीन विवाद पर भारत के स्टैंड पर शरद पवार ने केंद्र सरकार को कहा-कंफ्यूज सरकार
1291,कांग्रेस की कमजोर नेतृत्व से कई बार भारत को वैश्विक मंच पर अपमान सहना पड़ा था: राजीव चंद्रशेखर
1292,महुआ मोइत्रा पर अब लगा गवाहों को प्रभावित करने का आरोप: बीजेपी सांसद निशिकांत दुबे ने स्पीकर से कार्रवाई के लिए कहा
1293,"पीएम मोदी ने 51 हजार युवाओं को दिया नियुक्ति पत्र, बोले- भारत के विकास से पैदा हो रहे रोजगार के नए अवसर"
1294,"लिपस्टिक-आईशैडो ने महुआ मोइत्रा को आफत में डाला, दर्शन हीरानंदानी को लेकर स्वीकार की ये बात"
1295,"केरल: फिलिस्तीन के समर्थन में निकाली गई रैली में हमास नेता ने दिया भाषण, बीजेपी ने पूछा- कहा है विजयन की पुलिस"
1296,"एडल्टरी को फिर माना जाएगा क्राइम और लापरवाही से मौतों की सजा बढ़ाई जाएगी, संसदीय पैनल ने दिए संकेत"
1297,"ऑल इंडिया बार एग्जामिनेशन की परीक्षा डेट में हुआ बदलाव, जानिए कबतक किया जा सकेगा रजिस्ट्रेशन"
1298,भारत में होगा Apple आईफोन का निर्माण: टाटा ग्रुप 2.5 साल के भीतर बड़े पैमाने पर करेगा मैन्युफैक्चरिंग
1299,"श्री देवनारायण मंदिर के पुजारी ने प्रियंका गांधी के पीएम मोदी पर लगाए गए आरोप को बताया गलत, कहा-दान के बारे में कभी नहीं बताया जाता"
1300,"संजय सिंह की ज्यूडिशियल कस्टडी 10 नवम्बर तक बढ़ी, बोले-पीएम मोदी की जांच हो तो जीवन भर रहेंगे जेल"
1301,"यूपी के बाहुबली मोख्तार अंसारी को 10 साल की सजा, जानिए किस मामले में कोर्ट ने सुनाई सजा"
1302,"महुआ मोइत्रा संसदीय पैनल के सामने नहीं होंगी पेश, जानिए क्यों लिया ऐसा फैसला"
1303,"अशोक विश्वविद्यालय के संस्थापकों के ठिकानों पर ईडी ने की छापेमारी, 1600 करोड़ का हुआ है फ्रॉड"
1304,"काम के घंटों पर नारायण मूर्ति के बयान ने शुरू की बड़ी बहस, जानें क्या सोचते हैं ग्लोबल कंपनियों के CEO"
1305,"पीएम मोदी ने किया 7वीं इंडिया मोबाइल कांग्रेस का उद्घाटन, बोले-6G में दुनिया का नेतृत्व करेगा भारत"
1306,Accession Day 2023: श्रीनगर के लाल चौक पर गूंजा 'हम हिंदुस्तानी हैं'- मोदी युग में बड़ा बदलाव
1307,"जम्मू में इंटरनेशनल बार्डर पर पाकिस्तान की ओर से फॉयरिंग में कई भारतीय जवान घायल, बीएसएफ की जवाबी कार्रवाई शुरू"
1308,37वें नेशनल गेम्स का शानदार आगाज: पीएम मोदी बोले-2036 के लिए भारत ओलंपिक की मेजबानी के लिए भी तैयार
1309,"Big News: ECI ने केंद्र को लिखा लेटर, कहा-चुनावी राज्यों में रथ यात्रा रोकिए"
1310,इजरायल के लिए जासूसी के आरोप में कतर ने इंडियन नेवी के 8 पूर्व अधिकारियों को दी सजा-ए-मौत
1311,"जम्मू-कश्मीर में पांच LeT आतंकी मारे गए, एलओसी से कर रहे थे घुसपैठ की कोशिश"
1312,शिरडी में पीएम मोदी ने कहा-देश के गरीबों को अवसर देने का काम कर रही हमारी सरकार
1313,महुआ मोइत्रा केस में संसदीय पैनल ने निशिकांत दुबे और एडवोकेट देहाद्राई का स्टेटमेंट किया रिकॉर्ड
1314,"Live TV Debate में KCR के विधायक ने भाजपा नेता पर किया हमला, वीडियो में देखे कैसे पकड़ी गर्दन"
1315,"जम्मू-कश्मीर में दिख सकता है गाजा संकट का असर, बढ़ रही विदेशी आतंकियों की संख्या"
1316,"India Canada Visa: भारत ने शुरू की वीजा सर्विस, कनाडा के लोगों को 4 कैटेगरी में मिलेगा वीजा"
1317,"Mizoram Polls: MoS राजीव चंद्रशेखर का मिजोरम दौरा, इन दो जिलों में करेंगे मीटिंग"
1318,"22 जनवरी 2024 को अयोध्या श्रीराम मंदिर की प्राण-प्रतिष्ठा, पीएम मोदी बोले- 'जय सियाराम'"
1319,"किसानों को PM मोदी का गिफ्ट, फर्टिलाइजर सब्सिडी को कैबिनेट मंजूरी, जानें खाद के दाम"
1320,NCERT Books में अब 'इंडिया' की जगह होगा 'भारत'- प्राचीन नहीं शास्त्रीय इतिहास की होगी पढ़ाई
1321,"Mizoram Polls: मिजोरम के 68 प्रतिशत कैंडिडेट करोड़पति, जानें कौन सबसे अमीर-कौन गरीब"
1322,"Bengaluru: सुपरमार्केट की सब्जियां खाने वाले सावधान, मिली आयरन, कैडमियम और निकल की अधिक मात्रा"
1323,"दो लड़के गरबा डांस के लिए बेटी को कर रहे थे परेशान, बचाने की कोशिश में पिता की गई जान"
1324,"कौन हैं सबसे ताकतवर ब्यूरोक्रेट वीके पांडियान, इस्तीफा के 24 घंटे में मिला कैबिनेट मंत्री का दर्जा?"
1325,सांप्रदायिक सौहार्द की मिसालः रावण-कुंभकर्ण और मेघनाद के पुतले बनाता है यह मुस्लिम परिवार
1326,विजयादशमी पर बोले RSS प्रमुख मोहन भागवत- 'हिमालयी क्षेत्र पर विशेष ध्यान देने की है जरूरत'
1327,"पेंडिंग FIR मामले में हरियाणा सरकार सख्त, 372 पुलिसकर्मियों के निलंबन आदेश जारी"
1328,"दुर्गा पूजा पंडाल में भगदड़, 2 महिला और बच्चे की भीड़ से दबकर हो गई मौत"
1329,"Cash for Query case: दर्शन हीरानंदानी ने तोड़ी चुप्पी, बताया किसके दबाव में हलफनामा दिया"
1330,"महुआ मोइत्रा के साथ वायरल फोटो पर शशि थरूर ने दिया जवाब-घटिया राजनीति नहीं करनी चाहिए, वह मेरे लिए बच्ची जैसी"
1331,"सहकारिता सेक्टर में एक्सपोर्ट के लिए वेंचर NCEL लांच, अमित शाह ने किया शुभारंभ"
1332,"49 साल की उम्र में वाघ बकरी चाय समूह के मालिक पराग देसाई की मौत, आवारा कुत्तों ने ली जान"
1333,"Jammu Kashmir: घुसपैठ कर रहे दो आतंकियों को सेना ने मार गिराया, शव लेकर उल्टे पांव भागे दहशतगर्द"
1334,"तमिलनाडु भाजपा को लगा बड़ा झटका, एक्ट्रेस गौतमी तडिमल्ला ने छोड़ी पार्टी, सीनियर नेताओं पर लगाए गंभीर आरोप"
1335,भारत-कनाडा राजनयिक विवाद: वीजा सेवा शुरू हो सकती है लेकिन...विदेश मंत्री जयशंकर ने रखी शर्त
1336,"Special Trains: दिवाली-छठ पूजा पर 283 स्पेशल ट्रेन लगाएंगी 4480 फेरे, नहीं रहेगी वेटिंग की झंझट"
1337,"MIT मणिपाल कैंपस में पहुंचे केंद्रीय मंत्री राजीव चंद्रशेखर तो होने लगी सवालों की बौछार, देखिए पूरा वीडियो..."
1338,"Navratri Special: इंदौर सेंट्रल जेल में कैदियों ने रातभर जमकर खेला गरबा, इंटरनेट पर वीडियो ने मचाया धूम"
1339,जेपी नड्डा का कांग्रेस पर आरोप-मोदी सरकार गरीबों तक लाभ पहुंचाना चाहती लेकिन कांग्रेस की विरोध करने की फितरत
1340,"सफदरजंग अस्पताल में ड्यूटी के दौरान संक्रमित गार्ड की विधवा को मिलेंगे 50 लाख, HC का आदेश"
1341,"महुआ मोइत्रा केस में टीएमसी ने तोड़ी चुप्पी, डेरेक ओ ब्रायन ने बताई आगे की रणनीति, क्या होगी कार्रवाई?"
1342,पूर्व क्रिकेटर दानिश कनेरिया ने 'द वायर' की संपादक से कहा- भारतीय होने पर शर्म आती है तो आ जाएं पाकिस्तान
1343,"दिल्ली यूनिवर्सिटी में गरबा की धूम, वीडियो में देखें ""श्री राम जानकी..."" गाने पर कैसे झूमे छात्र"
1344,"गाजा के लोगों के लिए भारत ने भेजी दवाएं, 38.5 टन सामान लेकर उड़ा वायुसेना का विमान"
1345,"गुजरात: गरबा खेलते वक्त 17 साल के युवक को पड़ा दिल का दौरा, बच नहीं पाई जान"
1346,"पैसे लेकर सवाल पूछने के मामले में बढ़ने जा रही महुआ मोइत्रा की परेशानी, BJP ने लोकपाल में दर्ज कराई शिकायत"
1347,"NaMo Bharat Train: पहले दिन ही क्रॉस किया 10 हजार पैसेंजर्स का आंकड़ा, हिट है रेल सर्विस"
1348,"Israel-Palestine Conflict: फिलीस्तीन पर उमड़ा महबूबा मुफ्ती का प्यार, कह दी यह बड़ी बात"
1349,"PM Modi का महामंत्र: जब तक देश में एक भी गरीब है, हम चैन से नहीं बैठने वाले"
1350,MOS राजीव चंद्रशेखर ने कहा- 'राज्यों से लेकर छोटे शहरों-टाउन एरिया तक पहुंचेगा न्यू इनोवेशंस'
1351,"लव और मर्डर की सनसनीखेज प्लानिंग, डेड बॉडी को कार में लेकर दिल्ली घूमता रहा हत्यारा"
1352,"Mahadev App: ED ने पेश की 197 पेज की पहली चार्जशीट, कइयों के नाम-इन 2 को माना मुख्य साजिकर्ता"
1353,"गगनयान की सफल टेस्ट फ्लाइट पर राजीव चंद्रशेखर ने इसरो को दी बधाई, बताया अंतरिक्ष यात्रा में अहम कदम"
1354,"इसरो प्रमुख सोमनाथ ने बताया क्यों गगनयान टेस्ट में आई परेशानी, कैसे किया ठीक, मिशन में आगे क्या होगा"
1355,"भारत की एक कंपनी ने इजराइल को क्यों दिया अल्टीमेटम, कहा- गाजा में 25 लाख लोगों को भोजन-पानी दो वरना.."
1356,"तकनीकी खराबी के चलते दूसरे प्रयास में लॉन्च हुआ गगनयान TV-D1, 10 बजे इसरो ने दी गुड न्यूज"
1357,Watch Video: Gaganyaan Mission की पहली टेस्ट फ्लाइट होल्ड होने पर क्या बोले ISRO चीफ एस सोमनाथ
1358,"Gaganyaan Test Flight: लॉन्च हुआ TV-D1, अंतरिक्ष में इसरो ने रचा एक और कीर्तिमान, Watch Video"
1359,"गगनयान टेस्ट की खास बातें, 17 km की ऊंचाई पर अलग होगा क्रू मॉड्यूल"
1360,"अंतरिक्ष में इसरो की एक और उड़ान, सफलतापूर्वक गगनयान मिशन TV-D1 का टेस्ट फ्लाइट लॉन्च"
1361,इंडिया सेमीकंडक्टर आर एंड डी कमेटी ने ISRC पर रिपोर्ट केंद्रीय मंत्री राजीव चंद्रशेखर को सौंपी
1362,"जानें गगनयान मिशन का पूरा बजट, ऐसा करने वाला भारत दुनिया का चौथा देश"
1363,गुजरात के धोर्डो गांव को मिला बेस्ट टूरिज्म विलेज का सम्मान: पीएम मोदी ने शेयर की फोटोज बोले-एक झलक देखिए...
1364,"Gaganyaan Test Flight: क्या है गगनयान मिशन, पहली टेस्ट फ्लाइट के बारे में वो सबकुछ जो आप जानना चाहते हैं"
1365,संजय सिंह के अरेस्ट व रिमांड को चैलेंज करने वाली याचिका को दिल्ली हाईकोर्ट ने किया खारिज
1366,"ABES College Gazizbad का स्टूडेंट मंच पर चढ़ते ही लगाने लगा जयश्रीराम के नारे, टीचर ने मंच से उतारा और..."
1367,"तेलंगाना के राहुल गांधी और प्रियंका गांधी का स्पीच यूट्यूब ने खतरनाक कंटेंट के रूप में किया चिंहित, जानिए क्या है मामला"
1368,"महुआ मोइत्रा के मामले में एथिक्स कमेटी को मिला दर्शन हीरानंदानी का एफिडेविट, 26 अक्टूबर को सुनवाई"
1369,क्या कभी देखा है अंडरवाटर गरबा डांस? देखने वाले रह गए हैरान- आप भी देखें रोमांचक वीडियो
1370,"पीएम मोदी ने देश को दी पहले रिजनल रैपिड ट्रांजिट सिस्टम की सौगत, की नमो भारत ट्रेन में यात्रा"
1371,"गगनयान: व्हीकल अबॉर्ट मिशन के पहले टेस्ट का काउंटडान शुरू, शनिवार सुबह 8 बजे भरेगा उड़ान"
1372,"Watch Video: आजादी के बाद पहली बार कश्मीर में चली लग्जरी ट्रेन, 'नाम रखा है विस्टाडोम'"
1373,"दर्शन हीरानंदानी ने फोड़ा 'लेटर बम': बढ़ सकती है महुआ मोइत्रा की मुश्किलें, बिजनेसमैन ने लगाए कई गंभीर आरोप"
1374,"चल पड़ी देश की पहली Rapid ट्रेन, जानें आम लोग कब से कर सकेंगे सफर"
1375,"गाजा में फंसे भारतीयों को अभी नहीं निकाला जा सकता, हालात ठीक होने के बाद भारत सरकार उनको वहां से लाएगी"
1376,"RRTS को Namo Bharat ट्रेन के नाम से जाना जाएगा, भारतीय रेलवे ने किया ऐलान"
1377,"Explainer: 'मेरा युवा भारत', देश के युवाओं को ट्रांसफॉर्म करने के लिए मोदी सरकार ने उठाया बहुत बड़ा कदम"
1378,"तेलंगाना में बोले राहुल गांधी हमारी सरकार बनी तो कराएंगे जाति जनगणना, पूछा- चुप क्यों हैं CM KCR?"
1379,"Air India Express को मिली नई ब्रांड पहचान, ऊर्जा भरेगी नारंगी-फिरोजी रंग"
1380,"जम्मू-कश्मीर के लाल चौक पर हनुमान चालीसा पाठ, देखें सोशल मीडिया पर वायरल हुआ वीडियो"
1381,"रघुबर दास ओडिशा और इंद्र सेना रेड्डी बने त्रिपुरा के राज्यपाल, राष्ट्रपति ने जारी किया नियुक्ति आदेश"
1382,"संगीतमय शाम के लिए लोगों का ध्यान खींच रहा जोश, म्यूजिकल इवनिंग रूट्स और रिदम के लिए एबीपी नेटवर्क से मिलाया हाथ"
1383,"पीएम मोदी शुक्रवार को लॉन्च करेंगे भारत का पहला रिजनल रैपिड ट्रांजिट सिस्टम, 180 Kmph की रफ्तार से दौड़ेगी ट्रेन"
1384,"Mizoram Asssembly Election 2023: BJP ने जारी की दूसरी लिस्ट, इन 9 प्रत्याशियों को टिकट"
1385,"MSP पर कैबिनेट मीटिंग: मसूर-सरसों की कीमतें सबसे ज्यादा तय की गईं, जानें लेटेस्ट अपडेट्स"
1386,"Israel Palestine Conflict: पवार ने किया फिलीस्तीन का समर्थन, जानें क्या बोले पीयूष गोयल?"
1387,IBM और भारत सरकार के बीच करार-AI से लेकर सेमीकंडक्टर तकनीक पर होंगे काम: MOS राजीव चंद्रशेखर
1388,Israel Hamas War: भारत ने कड़े किए नियम- 'बिना अनुमति उड़े हैंग ग्लाइडर तो मार गिराया जाएगा'
1389,"खुशखबरी: 4 प्रतिशत बढ़ा केंद्रीय कर्मचारियों का महंगाई भत्ता, जानें कितना बढ़ जाएगा वेतन"
1390,"MIT Tech Tattva 23 में शामिल हुए केंद्रीय मंत्री राजीव चन्द्रशेखर, बोलें- सफलता की सीढ़ी है असफलता"
1391,"पत्रकार सौम्या विश्वनाथन हत्याकांड पर के सभी आरोपी दोषी करार, जानें कब क्या हुआ"
1392,"पीएमओ का अधिकारी बनकर डॉ.अग्रवाल हेल्थकेयर लिमिटेड के सीईओ को दे रहा था धमकी, मामला सीबीआई तक पहुंचा"
1393,"कर्नाटक में बिजली प्रोडक्शन हुआ कम, बेंगलुरू में शेड्यूल पॉवर कट, कई मेनटेनेंस प्रोजेक्ट किए गए शुरू"
1394,तमिलनाडु के शिवाकाशी की पटाखा फैक्ट्रियों में विस्फोट 9 महिलाओं समेत 11 की मौत
1395,गरिमा गृह से पुलिस कंप्लेन तक...सेम सेक्स मैरिज पर 16 बड़े प्वाइंट
1396,"दिल्ली हाईकोर्ट ने दिया राघव चड्ढा को राहत, सरकारी बंगला नहीं करना होगा खाली"
1397,कैश फॉर क्वेश्चन मामलाः महुआ मोइत्रा के खिलाफ जांच लोकसभा की एथिक्स कमेटी को भेजा गया
1398,PM ने ISRO को दिया टारगेट: 2035 तक तैयार करें भारतीय अंतरिक्ष स्टेशन और 2040 ...
1399,मिजोरम विधानसभा चुनाव 2023: पूर्व CM से मिलने के लिए राहुल गांधी ने की स्कूटर की सवारी
1400,"समलैंगिक विवाह पर SC के फैसले के बाद एक्टिविस्ट का रिएक्शन, कहा- निराश हैं, जारी रहेगी लड़ाई"
1401,Same Sex Marriages: SC ने समलैंगिक विवाह को नहीं दी मान्यता लेकिन...पढ़ें 10 बड़ी बातें
1402,"Same Sex Marriage को मंजूरी नहीं, जानें SC के फैसले की 10 बड़ी बातें"
1403,Supreme Court Verdict: अनमैरिड कपल-समलैंगिक जोड़ों को बच्चा गोद लेने का अधिकार
1404,सेम सेक्स मैरिज मामलाः समलैंगिक जोड़ों के अधिकारों को लेकर सुप्रीम कोर्ट की बड़ी बातें...
1405,Same Sex Marriage: याचिकाकर्ता ने SC के सामने रखीं ये 20 मांगे
1406,"Same Sex Marriage Case: जॉइंट अकाउंट, पेंशन...समलैंगिक शादी को लेकर सुप्रीम कोर्ट ने क्या कुछ कहा"
1407,"पीएम मोदी ने की गूगल सीईओ सुंदर पिचाई से बात, AI टूल को भारतीय भाषाओं में उपलब्ध कराने का किया स्वागत"
1408,कैश फॉर क्वेश्चन पर राजीव चंद्रशेखर बोले-अगर सांसद ने डेटा सेंटर कंपनी के इशारे पर प्रश्न पूछे हैं तो यह बेहद शर्मनाक
1409,"कर्नाटक-तेलंगाना और आंध्र प्रदेश में इनकम टैक्स की रेडः 94 cr. कैश, 8 cr. की ज्वेलरी-30 लग्जरी घड़ी जब्त"
1410,"26 सप्ताह की प्रेगनेंसी पर सुप्रीम कोर्ट का बड़ा फैसला, कहा- हम दिल की धड़कन को नहीं रोक सकते..."
1411,"सुप्रीम कोर्ट ने AAP सांसद राघव चड्ढा के सस्पेंशन को चुनौती देने वाली याचिका स्वीकारी, संसद सचिवालय से मांगा जवाब"
1412,"निठारी हत्याकांड: बच्चों से रेप किया, मारकर खा गया मांस, अब जेल से बाहर आएंगे आरोपी"
1413,"जांबाजों की इस टीम ने हर राज्य की सबसे ऊंची चोटी पर फहराया तिरंगा, चलाया था ये अभियान"
1414,"तेलंगाना चुनाव 2023: 400 में गैस सिलेंडर, 5 लाख का बीमा, BRS ने लगाई वादों की झड़ी"
1415,"विपक्ष को बहस में आने की चुनौती देते हुए भगवंत मान बोले-डाइट कोक, पिज्जा, कोक...सबकी पसंद की व्यवस्था करेंगे"
1416,"पूर्व मुख्य चुनाव आयुक्त मनोहर सिंह गिल का निधन, कांग्रेस शासन में केंद्र में रह चुके हैं मंत्री"
1417,भारत की सबसे अमीर सेल्फ मेड महिलाओं की लिस्ट में टॉप पर राधा वेम्बू
1418,महुआ मोइत्रा पर घूस लेकर संसद में सवाल करने का आरोप: बीजेपी बोली-बिजनेसमैन दर्शन हीरानंदानी से लिए पैसे
1419,"Watch Video: सद्गुरू संग 7 स्टेप में बदलें जीवन, ऑनलाइन प्रोग्राम में योग विज्ञान से लेकर बहुत कुछ"
1420,"राष्ट्रीय राजधानी क्षेत्र में भूकंप के तेज झटके, कांपी दिल्ली-सड़कों पर आए लोग"
1421,"ज्योतिषी सलाह ने 'डोसा किंग' को बनाया हत्यारा, हिला देगी शॉकिंग स्टोरी"
1422,"IND vs PAK: हार के जख्म पर इजराइल ने छिड़का नमक, कहा- 'खुशी है कि हमास को जीत समर्पित नहीं कर पाया पाकिस्तान'"
1423,"पीएम मोदी ने शेयर किया खुद के गरबा गीत पर बना वीडियो, देखकर माता की भक्ति में हो जाएंगे मगन"
1424,"मध्यप्रदेश, छत्तीसगढ़ और तेलंगाना के लिए कांग्रेस ने जारी की उम्मीदवारों की पहली लिस्ट"
1425,"पीएम मोदी ने ओलंपिक कमेटी से भारत को 2036 की मेजबानी की जताई इच्छा, कहा-आपके सहयोग से यह सपना पूरा करना चाहते"
1426,"अग्निवीर अमृतपाल सिंह की मौत पर क्यों नहीं हुआ गार्ड ऑफ ऑनर, जानिए पूरा सच"
1427,"विश्व कप में भारत-पाकिस्तान मैच का चढ़ा खुमार, स्विगी इंस्टामार्ट, जोमैटा जैसे ब्रांड भी सोशल मीडिया पर मचा रहे धमाल"
1428,"Karnataka: IT रेड में मिला 42 cr कैश, केंद्रीय मंत्री राजीव चन्द्रशेखर बोले- कांग्रेस के DNA में भ्रष्टाचार"
1429,"जल्द खुलने जा रहा इजरायल के खिलाफ एक और मोर्चा, हमास का साथ देगा यह आतंकी संगठन"
1430,"पीएम मोदी ने शेयर की उत्तराखंड के इन 2 धार्मिक स्थलों की 4 तस्वीरें, कहा- एक बार जरूर आना चाहता था"
1431,"Bengaluru: कांग्रेस की पूर्व पार्षद अश्वत्थम्मा के घर IT रेड में 42 करोड़ रु. बरामद, तेलंगाना चुनाव में होने थे खर्च?"
1432,"OMG! बेड के अंदर मिला नोटो का खजाना, कर्नाटक में 22 बॉक्स में 42 करोड़ रु. देख Income Tax की टीम हैरान"
1433,"मिजोरम विधानसभा चुनाव के लिए BJP ने किरेन रिजिजू को बनाया प्रभारी, यानथुंगो पट्टन और अनिल एंटोनी को यह जिम्मेदारी"
1434,"बेंगलुरू में आईटी द्वारा बरामद 42 करोड़ रुपये कांग्रेस का, बीजेपी नेता ईश्वरप्पा का बड़ा आरोप"
1435,वीडियो: मैक्सिकन सीनेट की प्रेसिडेंट एना लिलिया रिवेरा ने P20 Summit में पीएम मोदी को बांधी राखी
1436,"आप नेता संजय सिंह की न्यायिक हिरासत 27 अक्टूबर तक बढ़ी, दिल्ली एक्साइज पॉलिसी केस में ED ने किया था अरेस्ट"
1437,"पीएम मोदी ने कहा- 'Terrorism कहीं भी, किसी कारण-कैसे भी रूप हो, वह मानवता के खिलाफ है'"
1438,Operation Ajay: वहां बहुत डरावनी स्थिति है...इंडिया पहुंचे 212 भारतीयों ने कहा- थैंक्स मोदी सरकार
1439,Operation Ajay: इजरायल में फंसे 230 भारतीयों को चार्टर्ड प्लेन से लाया जा रहा इंडिया
1440,"गाजापट्टी को राहत देने की मूड में नहीं है इजरायल, आतंकियों के सामने रख दी शर्त"
1441,"बाटला हाउस एनकांउटर के आरोपी आरिज खान को लेकर दिल्ली हाईकोर्ट का बड़ा फैसला, साकेत कोर्ट ने सुनाई थी फांसी की सजा"
1442,"पार्वती कुंड में दर्शन के बाद भगवान शिव की पीएम मोदी ने की आराधना, हर हर महादेव के जयकारे के साथ शंख और डमरू बजाया"
1443,पिथौरागढ़ में मेगा रैली बोले PM Modi-यहां के हर गांव में देश की रक्षा करने वाले रहते
1444,"पिथौरागढ़: पीएम मोदी ने की शिव साधना, आदि कैलाश का दर्शन कर बजाया डमरू"
1445,"हमास पर कहर ढा रहा इजरायल का यह उड़ने वाला टैंक, जानें इसके अचूक फीचर"
1446,"North East Express Train Accident: नॉर्थ-ईस्ट एक्सप्रेस की कई बोगियां पटरी से उतरीं, 4 की मौत- 70 घायल"
1447,Israel Hamas War: इजराइल में फंसे भारतीयों की घर वापसी-लांच हुआ 'ऑपरेशन अजय'
1448,ODI World Cup 2023: भारत-पाकिस्तान मुकाबले से पहले मिली नरेंद्र मोदी स्टेडियम में हमले की धमकी
1449,"जानें राहुल गांधी के दिमाग में भरी हैं कौन सी बातें, मंत्री राजीव चन्द्रशेखर ने शेयर किया मजेदार कार्टून"
1450,"इजरायल पर हमास के हमले का अध्ययन कर रही भारतीय सेना, पता लगा रही कहां हुई गलती"
1451,"IMF ने बताया इकोनॉमिक ग्रोथ में 2024 में दुनिया में सबसे आगे रहेगा भारत, पीएम मोदी बोले- सुधारों को आगे बढ़ाएंगे"
1452,"G20 Summit के दौरान भारत मंडपम और दिल्ली के आसपास लगाए गए फव्वारों के नोजल चोरी, 10 लाख है कीमत"
1453,"पीएम मोदी 12 अक्टूबर को उत्तराखंड दौरे पर करेंगे विभिन्न समुदायों के साथ संवाद, हजारों करोड़ की प्रोजेक्ट्स का लोकार्पण शिलान्यास"
1454,स्वतंत्रता दिवस पर की गई घोषणाओं की पीएम मोदी ने की समीक्षा: जाना लखपति दीदी वाला टारगेट कबतक होगा पूरा
1455,"एशियन गेम्स में हिस्सा लेकर लौटे भारतीय एथलीट्स से पीएम मोदी ने की बात, नशा मुक्त अभियान में सहयोग का किया आह्वान"
1456,"कर्नाटक में अट्टीबेले में आग से 14 जल मरे: सिद्धारमैया सरकार ने तहसीलदार, इंस्पेक्टर, सीएफओ को किया सस्पेंड"
1457,बैडमिंटन चैंपियंस का एक्सक्लूसिव इंटरव्यूः चोट के बावजूद कैसे जीते प्रणय? पुलेला गोपीचंद ने कैसे बदला प्लेयर्स का गेम?
1458,"एशियन गेम्स 2023 के बैडमिंटन चैंपियंस HS Prannoy, Satwiksairaj, Chirag Shetty का Exclusive Interview"
1459,ED की बड़ी कार्रवाई: Vivo इंडिया मोबाइल कंपनी के चार एक्जीक्यूटिव व लावा इंटरनेशनल के संस्थापक हरिओम राय अरेस्ट
1460,"पीएम नरेंद्र मोदी ने की बेंजामिन नेतन्याहू से बात, इजरायल की मौजूदा स्थितियों के बारे में ली जानकारी"
1461,"तंजानिया की प्रेसीडेंट ने जलतरंग बजाया, पीएम मोदी ने इस तरह से की म्यूजिकल हेल्प- देखें दिलचस्प वीडियो"
1462,"AAP विधायक अमानतुल्लाह खान के घर ED की छापेमारी, इस केस में बढ़ेंगी MLA की मुश्किलें"
1463,"Jammu Kashmir Encounter: शोपियां मुठभेड़ में 2 आतंकी ढेर, सेना ने चलाया सर्च ऑपरेशन"
1464,"प्रेस कांफ्रेंस में राहुल गांधी बने टीचर, कहा- दलित-OBC पत्रकार हाथ उठाएं"
1465,"फिलिस्तीन के समर्थन में कांग्रेस ने पास किया रेसोलुशन, अनिल एंटोनी ने कहा- वोट बैंक के लिए आतंकियों का दे रही कांग्रेस"
1466,"पहले पोस्टल बैलट लेकर घर चले जाते थे, अब चुनाव आयोग ने चेंज कर दिया यह नियम"
